dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
gamma-separated-n1000-d32-seed42,synthetic,gamma,separated_clusters,1000,32,42,False,31,2,12,5,1,1,True,1
gamma-separated-n1000-d64-seed42,synthetic,gamma,separated_clusters,1000,64,42,False,31,1,20,15,1,1,True,1
gamma-separated-n1000-d128-seed42,synthetic,gamma,separated_clusters,1000,128,42,False,31,0,31,31,1,1,True,1
gamma-separated-n5000-d2-seed42,synthetic,gamma,separated_clusters,5000,2,42,False,70,15,6,1,1,1,True,1
gamma-separated-n5000-d10-seed42,synthetic,gamma,separated_clusters,5000,10,42,False,70,4,30,7,1,1,True,1
gamma-separated-n5000-d32-seed42,synthetic,gamma,separated_clusters,5000,32,42,False,70,1,83,7,1,1,True,1
gamma-separated-n5000-d64-seed42,synthetic,gamma,separated_clusters,5000,64,42,False,70,0,190,70,1,1,True,1
gamma-separated-n5000-d128-seed42,synthetic,gamma,separated_clusters,5000,128,42,False,70,0,365,70,1,1,True,1
gamma-separated-n10000-d2-seed42,synthetic,gamma,separated_clusters,10000,2,42,False,100,18,15,5,1,1,True,1
gamma-separated-n10000-d10-seed42,synthetic,gamma,separated_clusters,10000,10,42,False,100,3,35,30,1,1,True,1
gamma-separated-n10000-d32-seed42,synthetic,gamma,separated_clusters,10000,32,42,False,100,0,138,100,1,1,True,1
gamma-separated-n10000-d64-seed42,synthetic,gamma,separated_clusters,10000,64,42,False,100,0,415,100,1,1,True,1
gamma-separated-n10000-d128-seed42,synthetic,gamma,separated_clusters,10000,128,42,False,100,0,891,100,2,2,True,1
gamma-separated-n25000-d2-seed42,synthetic,gamma,separated_clusters,25000,2,42,False,158,19,27,1,1,1,True,1
gamma-separated-n25000-d10-seed42,synthetic,gamma,separated_clusters,25000,10,42,False,158,3,69,45,1,1,True,1
gamma-separated-n25000-d32-seed42,synthetic,gamma,separated_clusters,25000,32,42,False,158,0,322,158,1,1,True,1
gamma-separated-n25000-d64-seed42,synthetic,gamma,separated_clusters,25000,64,42,False,158,0,1067,158,1,1,True,1
gamma-separated-n25000-d128-seed42,synthetic,gamma,separated_clusters,25000,128,42,False,158,0,2524,158,1,1,True,1
gamma-separated-n50000-d2-seed42,synthetic,gamma,separated_clusters,50000,2,42,False,223,19,43,25,1,1,True,1
gamma-separated-n50000-d10-seed42,synthetic,gamma,separated_clusters,50000,10,42,False,223,3,102,57,1,1,True,1
gamma-separated-n50000-d32-seed42,synthetic,gamma,separated_clusters,50000,32,42,False,223,0,608,223,1,2,True,1
gamma-separated-n50000-d64-seed42,synthetic,gamma,separated_clusters,50000,64,42,False,223,0,2247,223,1,1,True,1
gamma-separated-n50000-d128-seed42,synthetic,gamma,separated_clusters,50000,128,42,False,223,0,5877,223,1,1,True,1
gamma-separated-n100000-d2-seed42,synthetic,gamma,separated_clusters,100000,2,42,False,316,20,64,15,1,1,True,1
gamma-separated-n100000-d10-seed42,synthetic,gamma,separated_clusters,100000,10,42,False,316,3,144,67,1,1,True,1
gamma-separated-n100000-d32-seed42,synthetic,gamma,separated_clusters,100000,32,42,False,316,0,1044,316,1,1,True,1
gamma-separated-n100000-d64-seed42,synthetic,gamma,separated_clusters,100000,64,42,False,316,0,4631,316,1,1,True,1
gamma-separated-n100000-d128-seed42,synthetic,gamma,separated_clusters,100000,128,42,False,316,0,12565,316,1,1,True,1
gamma-separated-n200000-d2-seed42,synthetic,gamma,separated_clusters,200000,2,42,False,447,20,86,50,1,1,True,1
gamma-separated-n200000-d10-seed42,synthetic,gamma,separated_clusters,200000,10,42,False,447,3,256,119,1,1,True,1
gamma-separated-n200000-d32-seed42,synthetic,gamma,separated_clusters,200000,32,42,False,447,0,2018,447,3,5,True,1
gamma-separated-n200000-d64-seed42,synthetic,gamma,separated_clusters,200000,64,42,False,447,0,9176,447,1,1,True,1
gamma-separated-n200000-d128-seed42,synthetic,gamma,separated_clusters,200000,128,42,False,447,0,26940,447,1,1,True,1
gamma-separated-n500000-d2-seed42,synthetic,gamma,separated_clusters,500000,2,42,False,707,21,115,47,1,1,True,1
gamma-separated-n500000-d10-seed42,synthetic,gamma,separated_clusters,500000,10,42,False,707,3,355,203,2,2,True,1
gamma-separated-n500000-d32-seed42,synthetic,gamma,separated_clusters,500000,32,42,False,707,0,4466,707,4,5,True,1
gamma-separated-n500000-d64-seed42,synthetic,gamma,separated_clusters,500000,64,42,False,707,0,23202,707,1,3,True,1
gamma-separated-n500000-d128-seed42,synthetic,gamma,separated_clusters,500000,128,42,False,707,0,74165,707,2,2,True,1
gamma-separated-n1000000-d2-seed42,synthetic,gamma,separated_clusters,1000000,2,42,False,1000,21,162,143,1,1,True,1
