dataset,family,distribution,structure,n_samples,n_features,seed,normalized,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,connected_all_k,n_components
logistic-separated-n5000-d32-seed42,synthetic,logistic,separated_clusters,5000,32,42.0,False,70,0,113,70,1,1,True,1
logistic-iid-n5000-d64-seed42,synthetic,logistic,iid,5000,64,42.0,False,70,0,373,70,1,1,True,1
logistic-separated-n5000-d64-seed42,synthetic,logistic,separated_clusters,5000,64,42.0,False,70,0,227,70,1,1,True,1
logistic-iid-n10000-d2-seed42,synthetic,logistic,iid,10000,2,42.0,False,100,23,8,5,1,1,True,1
logistic-separated-n10000-d2-seed42,synthetic,logistic,separated_clusters,10000,2,42.0,False,100,11,19,10,1,1,True,1
logistic-iid-n10000-d10-seed42,synthetic,logistic,iid,10000,10,42.0,False,100,2,48,29,1,1,True,1
logistic-separated-n10000-d10-seed42,synthetic,logistic,separated_clusters,10000,10,42.0,False,100,1,82,57,1,1,True,1
logistic-iid-n10000-d32-seed42,synthetic,logistic,iid,10000,32,42.0,False,100,0,358,100,1,1,True,1
logistic-separated-n10000-d32-seed42,synthetic,logistic,separated_clusters,10000,32,42.0,False,100,0,310,100,1,1,True,1
logistic-iid-n10000-d64-seed42,synthetic,logistic,iid,10000,64,42.0,False,100,0,853,100,1,1,True,1
logistic-separated-n10000-d64-seed42,synthetic,logistic,separated_clusters,10000,64,42.0,False,100,0,573,100,1,1,True,1
gaussian_sparse-iid-n1000-d2-seed42,synthetic,gaussian_sparse,iid,1000,2,42.0,False,31,0,552,31,31,54,True,1
gaussian_sparse-separated-n1000-d2-seed42,synthetic,gaussian_sparse,separated_clusters,1000,2,42.0,False,31,0,295,31,3,16,True,1
gaussian_sparse-iid-n1000-d10-seed42,synthetic,gaussian_sparse,iid,1000,10,42.0,False,31,0,144,31,30,36,True,1
gaussian_sparse-separated-n1000-d10-seed42,synthetic,gaussian_sparse,separated_clusters,1000,10,42.0,False,31,0,85,31,7,8,True,1
gaussian_sparse-iid-n1000-d32-seed42,synthetic,gaussian_sparse,iid,1000,32,42.0,False,31,1,18,11,1,1,True,1
gaussian_sparse-separated-n1000-d32-seed42,synthetic,gaussian_sparse,separated_clusters,1000,32,42.0,False,31,0,70,31,1,1,True,1
gaussian_sparse-iid-n1000-d64-seed42,synthetic,gaussian_sparse,iid,1000,64,42.0,False,31,0,109,31,1,1,True,1
gaussian_sparse-separated-n1000-d64-seed42,synthetic,gaussian_sparse,separated_clusters,1000,64,42.0,False,31,0,109,31,1,1,True,1
gaussian_sparse-iid-n5000-d2-seed42,synthetic,gaussian_sparse,iid,5000,2,42.0,False,70,0,2468,70,13,56,True,1
gaussian_sparse-separated-n5000-d2-seed42,synthetic,gaussian_sparse,separated_clusters,5000,2,42.0,False,70,0,2674,70,6,29,True,1
gaussian_sparse-iid-n5000-d10-seed42,synthetic,gaussian_sparse,iid,5000,10,42.0,False,70,0,877,70,20,40,True,1
gaussian_sparse-separated-n5000-d10-seed42,synthetic,gaussian_sparse,separated_clusters,5000,10,42.0,False,70,0,495,70,11,15,False,3
gaussian_sparse-iid-n5000-d32-seed42,synthetic,gaussian_sparse,iid,5000,32,42.0,False,70,0,134,70,1,1,True,1
gaussian_sparse-separated-n5000-d32-seed42,synthetic,gaussian_sparse,separated_clusters,5000,32,42.0,False,70,0,111,70,1,1,True,1
gaussian_sparse-iid-n5000-d64-seed42,synthetic,gaussian_sparse,iid,5000,64,42.0,False,70,0,356,70,1,1,True,1
gaussian_sparse-separated-n5000-d64-seed42,synthetic,gaussian_sparse,separated_clusters,5000,64,42.0,False,70,0,534,70,1,1,True,1
gaussian_sparse-iid-n10000-d2-seed42,synthetic,gaussian_sparse,iid,10000,2,42.0,False,100,0,5029,100,49,54,False,4
gaussian_sparse-separated-n10000-d2-seed42,synthetic,gaussian_sparse,separated_clusters,10000,2,42.0,False,100,0,5633,100,12,88,True,1
gaussian_sparse-iid-n10000-d10-seed42,synthetic,gaussian_sparse,iid,10000,10,42.0,False,100,0,1845,100,32,38,True,1
gaussian_sparse-separated-n10000-d10-seed42,synthetic,gaussian_sparse,separated_clusters,10000,10,42.0,False,100,0,1223,100,3,19,True,1
gaussian_sparse-iid-n10000-d32-seed42,synthetic,gaussian_sparse,iid,10000,32,42.0,False,100,0,319,100,1,1,True,1
gaussian_sparse-separated-n10000-d32-seed42,synthetic,gaussian_sparse,separated_clusters,10000,32,42.0,False,100,0,150,100,1,1,True,1
gaussian_sparse-iid-n10000-d64-seed42,synthetic,gaussian_sparse,iid,10000,64,42.0,False,100,0,857,100,1,1,True,1
gaussian_sparse-separated-n10000-d64-seed42,synthetic,gaussian_sparse,separated_clusters,10000,64,42.0,False,100,0,781,100,1,1,True,1
iris,real,real_builtin,real,150,4,,True,12,23,1,1,1,1,True,1
wine,real,real_builtin,real,178,13,,True,13,13,3,3,1,1,True,1
breast_cancer,real,real_builtin,real,569,30,,True,23,7,6,4,1,1,True,1
digits,real,real_builtin,real,1797,64,,True,42,7,5,4,1,1,True,1
