dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,random_sqrt_clique,50000,2,42.0,False,2,50,49,False,0.0,224,28220,51,2524753,223,223,0,14793,223,27,50,6.14189646199884,6.2394708579995495
poisson-separated-n50000-d2-seed42,synthetic,poisson,separated_clusters,score_sg_antihub,50000,2,42.0,False,2,50,49,False,0.0,289,11472,51,2524753,223,223,0,14793,223,27,50,6.14189646199884,6.322652917002415
poisson-separated-n50000-d10-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,10,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,2,157,51,1,1,11.157747966000898,6.202581838999322
poisson-separated-n50000-d32-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,32,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,741,223,1,1,11.545293390998268,6.141027814999688
poisson-separated-n50000-d64-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,64,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,1935,223,1,1,13.016348549001124,5.967929980000918
poisson-separated-n50000-d128-seed42,synthetic,poisson,separated_clusters,approx_knn_only,50000,128,42.0,False,2,50,49,False,0.0,6,8334,8333,2500000,0,223,0,3448,223,1,1,16.220830902999296,6.352671530999942
poisson-iid-n100000-d2-seed42,synthetic,poisson,iid,approx_knn_only,100000,2,42.0,False,2,50,49,False,0.0,544,2616,52,5000000,0,316,0,56356,316,1,1,24.985341086001423,12.906678069000918
poisson-iid-n100000-d2-seed42,synthetic,poisson,iid,random_sqrt_clique,100000,2,42.0,False,2,50,49,False,0.0,337,52489,52,5049770,316,316,0,56356,316,1,1,24.985341086001423,12.892141303000244
poisson-iid-n100000-d2-seed42,synthetic,poisson,iid,score_sg_antihub,100000,2,42.0,False,2,50,49,False,0.0,508,17829,59,5049770,316,316,0,56356,316,1,1,24.985341086001423,12.884671069001342
poisson-separated-n100000-d2-seed42,synthetic,poisson,separated_clusters,approx_knn_only,100000,2,42.0,False,2,50,49,False,0.0,677,2457,51,5000000,0,316,0,44085,316,1,8,11.3303602019987,14.184419312998216
