dataset,family,distribution,structure,variant,n_samples,n_features,seed,normalized,k_min,k_max,n_k_values,connected_all_k,connected_rate,n_components,largest_component_size,smallest_component_size,n_edges,reinforcement_vertex_count,anti_hub_count,cutoff_in_degree,candidate_tie_count,selected_from_ties_degree_only,selected_from_ties_score_tie_break,score_tie_candidate_count,build_seconds,connectivity_check_seconds
gaussian-separated-n10000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,32,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,121,100,1,1,1.7477938949999725,1.107660449999912
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,0,406,100,1,1,18.136097423000024,1.103249742999992
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,406,100,1,1,18.136097423000024,1.0899922169999172
gaussian-iid-n10000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,406,100,1,1,18.136097423000024,1.056002641999953
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,64,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,237,100,1,1,1.8312456969999855,1.0732373679999228
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,237,100,1,1,1.8312456969999855,1.056062804000021
gaussian-separated-n10000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,64,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,237,100,1,1,1.8312456969999855,1.092184125000017
gaussian-iid-n10000-d128-seed42,synthetic,gaussian,iid,approx_knn_only,10000,128,42.0,False,2,50,49,True,1.0,1,10000,10000,500000,0,100,0,648,100,1,1,20.25584860599997,1.1683429990000604
gaussian-iid-n10000-d128-seed42,synthetic,gaussian,iid,random_sqrt_clique,10000,128,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,648,100,1,1,20.25584860599997,1.2494006329999363
gaussian-iid-n10000-d128-seed42,synthetic,gaussian,iid,score_sg_antihub,10000,128,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,648,100,1,1,20.25584860599997,1.1812042499999509
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,10000,128,42.0,False,2,50,49,False,0.0,6,1667,1666,500000,0,100,0,322,100,1,1,2.505124439000042,1.380236148999984
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,10000,128,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,322,100,1,1,2.505124439000042,1.3164047209999126
gaussian-separated-n10000-d128-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,10000,128,42.0,False,2,50,49,True,1.0,1,10000,10000,504950,100,100,0,322,100,1,1,2.505124439000042,1.2634211779999305
gaussian-iid-n25000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,25000,2,42.0,False,2,50,49,True,1.0,1,25000,25000,1250000,0,158,27,17,11,1,1,20.63660203500001,2.5980280960000077
gaussian-iid-n25000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,25000,2,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,27,17,11,1,1,20.63660203500001,2.6481669499999043
gaussian-iid-n25000-d2-seed42,synthetic,gaussian,iid,score_sg_antihub,25000,2,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,27,17,11,1,1,20.63660203500001,2.64453211
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,2,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,13,29,24,1,1,4.647338278999996,2.5980215319999616
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,25000,2,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,13,29,24,1,1,4.647338278999996,2.75887469700001
gaussian-separated-n25000-d2-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,25000,2,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,13,29,24,1,1,4.647338278999996,2.885747379000009
gaussian-iid-n25000-d10-seed42,synthetic,gaussian,iid,approx_knn_only,25000,10,42.0,False,2,50,49,True,1.0,1,25000,25000,1250000,0,158,2,122,54,1,1,22.660431752999894,2.742835752000019
gaussian-iid-n25000-d10-seed42,synthetic,gaussian,iid,random_sqrt_clique,25000,10,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,2,122,54,1,1,22.660431752999894,2.881122266000034
gaussian-iid-n25000-d10-seed42,synthetic,gaussian,iid,score_sg_antihub,25000,10,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,2,122,54,1,1,22.660431752999894,2.8343027410001014
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,10,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,2,119,18,1,1,4.59984066100003,2.70732155099995
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,25000,10,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,2,119,18,1,1,4.59984066100003,2.881116913000028
gaussian-separated-n25000-d10-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,25000,10,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,2,119,18,1,1,4.59984066100003,2.8977084260000083
gaussian-iid-n25000-d32-seed42,synthetic,gaussian,iid,approx_knn_only,25000,32,42.0,False,2,50,49,True,1.0,1,25000,25000,1250000,0,158,0,557,158,1,1,22.24082579200001,2.709182175000024
gaussian-iid-n25000-d32-seed42,synthetic,gaussian,iid,random_sqrt_clique,25000,32,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,557,158,1,1,22.24082579200001,2.773016596000048
gaussian-iid-n25000-d32-seed42,synthetic,gaussian,iid,score_sg_antihub,25000,32,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,557,158,1,1,22.24082579200001,2.742721066999934
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,32,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,391,158,1,1,4.754107949000058,2.773576133000006
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,25000,32,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,391,158,1,1,4.754107949000058,2.765661062999925
gaussian-separated-n25000-d32-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,25000,32,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,391,158,1,1,4.754107949000058,2.7744673539999667
gaussian-iid-n25000-d64-seed42,synthetic,gaussian,iid,approx_knn_only,25000,64,42.0,False,2,50,49,True,1.0,1,25000,25000,1250000,0,158,0,1267,158,2,2,22.721784220000018,2.5828655079999407
gaussian-iid-n25000-d64-seed42,synthetic,gaussian,iid,random_sqrt_clique,25000,64,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,1267,158,2,2,22.721784220000018,2.6333187350001026
gaussian-iid-n25000-d64-seed42,synthetic,gaussian,iid,score_sg_antihub,25000,64,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,1267,158,2,2,22.721784220000018,2.655848671000058
gaussian-separated-n25000-d64-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,64,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,799,158,1,1,5.332717346999971,2.675813113000004
gaussian-separated-n25000-d64-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,25000,64,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,799,158,1,1,5.332717346999971,2.709023499000068
gaussian-separated-n25000-d64-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,25000,64,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,799,158,1,1,5.332717346999971,2.775601216000041
gaussian-iid-n25000-d128-seed42,synthetic,gaussian,iid,approx_knn_only,25000,128,42.0,False,2,50,49,True,1.0,1,25000,25000,1250000,0,158,0,2339,158,1,1,23.90752918699991,2.6137479379999604
gaussian-iid-n25000-d128-seed42,synthetic,gaussian,iid,random_sqrt_clique,25000,128,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,2339,158,1,1,23.90752918699991,2.668158014000028
gaussian-iid-n25000-d128-seed42,synthetic,gaussian,iid,score_sg_antihub,25000,128,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,2339,158,1,1,23.90752918699991,2.6492237470001783
gaussian-separated-n25000-d128-seed42,synthetic,gaussian,separated_clusters,approx_knn_only,25000,128,42.0,False,2,50,49,False,0.0,6,4167,4166,1250000,0,158,0,1242,158,1,1,6.362129051000011,2.6488422959998843
gaussian-separated-n25000-d128-seed42,synthetic,gaussian,separated_clusters,random_sqrt_clique,25000,128,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,1242,158,1,1,6.362129051000011,2.689052070999878
gaussian-separated-n25000-d128-seed42,synthetic,gaussian,separated_clusters,score_sg_antihub,25000,128,42.0,False,2,50,49,True,1.0,1,25000,25000,1262403,158,158,0,1242,158,1,1,6.362129051000011,2.675973541000076
gaussian-iid-n50000-d2-seed42,synthetic,gaussian,iid,approx_knn_only,50000,2,42.0,False,2,50,49,True,1.0,1,50000,50000,2500000,0,223,30,16,15,1,1,24.852001658000063,5.466655053000068
gaussian-iid-n50000-d2-seed42,synthetic,gaussian,iid,random_sqrt_clique,50000,2,42.0,False,2,50,49,True,1.0,1,50000,50000,2524753,223,223,30,16,15,1,1,24.852001658000063,5.426653277000014
